"grna_target","response_id","t_test","wilcoxon_test"
"candidate_enh_1","ENSG00000175467",0.664647742142723,22336047.9555664
"candidate_enh_1","ENSG00000175550",0.754400510599826,22139086.6240234
"candidate_enh_1","ENSG00000175573",0.873667030668608,22241038.1328125
"candidate_enh_1","ENSG00000175592",0.127817579606021,22904103.4140625
"candidate_enh_1","ENSG00000175602",0.408803206027734,21785335.9404297
"candidate_enh_1","ENSG00000176973",0.99599094994253,21725447.9213867
"candidate_enh_1","ENSG00000197136",0.385757580789529,22123209.5
"candidate_enh_1","ENSG00000204710",0.554356514409512,21818442.5
"candidate_enh_1","ENSG00000213445",0.00582760511927339,22628275.4125977
"candidate_enh_1","ENSG00000213465",0.343027371811124,22491122.9169922
"candidate_enh_1","ENSG00000254470",0.638818311202356,21947397.2285156
"candidate_enh_1","ENSG00000254986",0.405542221340459,22069951.8007812
"candidate_enh_1","ENSG00000009780",0.344668174187581,22376675.4829102
"candidate_enh_1","ENSG00000090020",0.800679159334489,22091420.5
"candidate_enh_1","ENSG00000090273",0.451620105314514,22052592.7685547
"candidate_enh_1","ENSG00000117748",0.547601529177836,22138279.0166016
"candidate_enh_1","ENSG00000117751",0.718530892976815,21843773.9545898
"candidate_enh_1","ENSG00000117758",0.409008592411002,22283076.0800781
"candidate_enh_1","ENSG00000120656",0.675002738113324,22120951.7519531
"candidate_enh_1","ENSG00000126698",0.901796664010117,22060388.6152344
"candidate_enh_1","ENSG00000126705",0.477155381382652,21886393
"candidate_enh_1","ENSG00000126709",0.188819870169023,21840363.5
"candidate_enh_1","ENSG00000130766",0.392006646384138,22352751.8720703
"candidate_enh_1","ENSG00000130768",0.197209289783026,21925482
"candidate_enh_1","ENSG00000130770",0.809534165042358,22258212.1425781
"candidate_enh_1","ENSG00000130772",0.154738057862311,22448115
"candidate_enh_1","ENSG00000130775",0.846061627328993,22032671
"candidate_enh_1","ENSG00000142733",0.895915610564035,22035109.5
"candidate_enh_1","ENSG00000142751",0.020127054661256,21213099.1914062
"candidate_enh_1","ENSG00000142765",0.0689642585104858,21910620
"candidate_enh_1","ENSG00000142784",0.0862275076113796,21664697.5
"candidate_enh_1","ENSG00000158161",0.556167596155731,22004362.8100586
"candidate_enh_1","ENSG00000158195",0.738251277086004,22155694.8896484
"candidate_enh_1","ENSG00000162419",0.651042089519041,21931225
"candidate_enh_1","ENSG00000169403",0.832320947274083,22015635.5
"candidate_enh_1","ENSG00000174950",0.465043247520942,21970328
"candidate_enh_1","ENSG00000175707",0.000844768111915336,22840883.5
"candidate_enh_1","ENSG00000180098",0.749441439324388,22021981.1220703
"candidate_enh_1","ENSG00000180198",0.377391718363186,21936377.5087891
"candidate_enh_1","ENSG00000181773",0.380219164674667,22157121
"candidate_enh_1","ENSG00000186501",0.634792123919836,21835132.8955078
"candidate_enh_1","ENSG00000198492",0.55415380882363,22280320.3071289
"candidate_enh_1","ENSG00000198746",0.159267469384386,22415537.5
"candidate_enh_1","ENSG00000204138",0.687769644777287,22131313.2617188
"candidate_enh_1","ENSG00000253368",0.901300566335797,22056785
"candidate_enh_1","ENSG00000005194",0.699591811405388,22052591.7636719
"candidate_enh_1","ENSG00000051108",0.803148997100446,21893253.4038086
"candidate_enh_1","ENSG00000070761",0.50394738768416,22591621.4033203
"candidate_enh_1","ENSG00000070770",0.118547442039559,21655207.6616211
"candidate_enh_1","ENSG00000087263",0.994154637624158,22227687.4482422
"candidate_enh_1","ENSG00000088682",0.462906777151842,21852619.0009766
"candidate_enh_1","ENSG00000102900",0.189663114877536,21478552.1386719
"candidate_enh_1","ENSG00000102931",0.0330010701477866,21692263.5185547
"candidate_enh_1","ENSG00000102934",0.801692406717136,22004007.5
"candidate_enh_1","ENSG00000102978",0.0974147886921044,21683778.6938477
"candidate_enh_1","ENSG00000102996",0.290926261159765,21954153.5
"candidate_enh_1","ENSG00000103005",0.853706753221306,21793305.4902344
"candidate_enh_1","ENSG00000103021",0.643219561141881,21882265
"candidate_enh_1","ENSG00000125124",0.759339462873532,22001855.5
"candidate_enh_1","ENSG00000125144",0.136723613879193,22123689.5
"candidate_enh_1","ENSG00000125148",0.608452236842472,21481819.1142578
"candidate_enh_1","ENSG00000125170",0.100562721214066,22309069
"candidate_enh_1","ENSG00000135736",0.603267681630921,21979042
"candidate_enh_1","ENSG00000140848",0.147006425214998,21857929.5
"candidate_enh_1","ENSG00000140854",0.879853126674507,21935598.9794922
"candidate_enh_1","ENSG00000140859",0.219970671686049,21621756.2290039
"candidate_enh_1","ENSG00000159461",0.358216659877958,22348783.951416
"candidate_enh_1","ENSG00000159579",0.0787893645471071,21583723.4755859
"candidate_enh_1","ENSG00000159648",0.467116183150469,21988543.5
"candidate_enh_1","ENSG00000166188",0.00773852886069969,21838300.5
"candidate_enh_1","ENSG00000167005",0.657619751724978,22071154.9003906
"candidate_enh_1","ENSG00000172775",0.2044316311248,21723337.3320312
"candidate_enh_1","ENSG00000187193",0.663050956662073,21949415.5
"candidate_enh_1","ENSG00000198417",0.617776430190134,22183086.5
"candidate_enh_1","ENSG00000069702",0.0897184027343658,22609660
"candidate_enh_1","ENSG00000097046",0.106604364186763,22537443.6804199
"candidate_enh_1","ENSG00000122482",0.660268560465677,21910659.0561523
"candidate_enh_1","ENSG00000122484",0.718302321591029,22016016.4794922
"candidate_enh_1","ENSG00000162669",0.651295322110435,22015719
"candidate_enh_1","ENSG00000174842",0.0762455461821426,21732281.8239746
"candidate_enh_1","ENSG00000189195",0.83379750044387,22069785
"candidate_enh_1","ENSG00000004939",0.240554491629802,21801744
"candidate_enh_1","ENSG00000005961",0.338482467034747,22124677.5
"candidate_enh_1","ENSG00000012048",0.563746457990639,21777257.3203125
"candidate_enh_1","ENSG00000013306",0.594580587058031,22230878.5722656
"candidate_enh_1","ENSG00000030582",0.533854021321093,21495245.1108398
"candidate_enh_1","ENSG00000067596",0.397986854792184,21844186.8205566
