"grna_target","response_id","wilcoxon_test"
"candidate_enh_1","ENSG00000126709",0.239430875923486
"candidate_enh_1","ENSG00000130766",0.281874491172101
"candidate_enh_1","ENSG00000130768",0.30809634658661
"candidate_enh_1","ENSG00000130770",0.597722566732839
"candidate_enh_1","ENSG00000130772",0.0683235513663982
"candidate_enh_1","ENSG00000130775",0.951247270029318
"candidate_enh_1","ENSG00000142733",0.938826064767604
"candidate_enh_1","ENSG00000142751",0.00751179221500435
"candidate_enh_1","ENSG00000142765",0.102523730701482
"candidate_enh_1","ENSG00000142784",0.123076996389206
"candidate_enh_1","ENSG00000158161",0.889617549069702
"candidate_enh_1","ENSG00000158195",0.77910361698501
"candidate_enh_1","ENSG00000162419",0.633050067420416
"candidate_enh_1","ENSG00000169403",0.662151973763732
"candidate_enh_1","ENSG00000174950",0.361434693844652
"candidate_enh_1","ENSG00000175707",8.78294177556935e-05
"candidate_enh_1","ENSG00000180098",0.952702591063889
"candidate_enh_1","ENSG00000180198",0.784695509113901
"candidate_enh_1","ENSG00000181773",0.496729612000788
"candidate_enh_1","ENSG00000186501",0.531055143513236
"candidate_enh_1","ENSG00000198492",0.543607071183482
"candidate_enh_1","ENSG00000198746",0.112320270334214
"candidate_enh_1","ENSG00000204138",0.766859248681571
"candidate_enh_1","ENSG00000253368",0.831696767279346
"candidate_enh_1","ENSG00000005194",0.977806106436794
"candidate_enh_1","ENSG00000051108",0.658498708920149
"candidate_enh_1","ENSG00000070761",0.144524132529383
"candidate_enh_1","ENSG00000070770",0.259106733997976
"candidate_enh_1","ENSG00000087263",0.577533987986451
"candidate_enh_1","ENSG00000088682",0.623678594922366
"candidate_enh_1","ENSG00000102900",0.0896026643345166
"candidate_enh_1","ENSG00000102931",0.371287229342841
"candidate_enh_1","ENSG00000102934",0.635415581958509
"candidate_enh_1","ENSG00000102978",0.366565399219612
"candidate_enh_1","ENSG00000102996",0.535569887118456
"candidate_enh_1","ENSG00000103005",0.521514481836924
"candidate_enh_1","ENSG00000103021",0.407157260134457
"candidate_enh_1","ENSG00000125124",0.718432009891164
"candidate_enh_1","ENSG00000125144",0.214209021588633
"candidate_enh_1","ENSG00000125148",0.0597036672188922
"candidate_enh_1","ENSG00000125170",0.143993940913279
"candidate_enh_1","ENSG00000135736",0.7607371774812
"candidate_enh_1","ENSG00000140848",0.304428926327965
"candidate_enh_1","ENSG00000140854",0.709208474736218
"candidate_enh_1","ENSG00000140859",0.139053522946513
"candidate_enh_1","ENSG00000159461",0.270884029469921
"candidate_enh_1","ENSG00000159579",0.140067124688833
"candidate_enh_1","ENSG00000159648",0.567710695583055
"candidate_enh_1","ENSG00000166188",0.0471326231109913
"candidate_enh_1","ENSG00000167005",0.941503500701072
"candidate_enh_1","ENSG00000172775",0.420915098509068
"candidate_enh_1","ENSG00000187193",0.722779306382857
"candidate_enh_1","ENSG00000198417",0.263199741610033
"candidate_enh_1","ENSG00000069702",0.0230825979098313
"candidate_enh_1","ENSG00000097046",0.0523426427935735
"candidate_enh_1","ENSG00000122482",0.690950819630876
"candidate_enh_1","ENSG00000122484",0.930556291970026
"candidate_enh_1","ENSG00000162669",0.71410359287263
"candidate_enh_1","ENSG00000174842",0.274527727840076
"candidate_enh_1","ENSG00000189195",0.757032192162324
"candidate_enh_1","ENSG00000004939",0.305267992817613
"candidate_enh_1","ENSG00000005961",0.233381185450693
"candidate_enh_1","ENSG00000012048",0.476715889755869
"candidate_enh_1","ENSG00000013306",0.645281225120875
"candidate_enh_1","ENSG00000030582",0.145590711162261
"candidate_enh_1","ENSG00000067596",0.45135169707299
"candidate_enh_1","ENSG00000087152",0.518482190748278
"candidate_enh_1","ENSG00000091947",0.80920157409219
"candidate_enh_1","ENSG00000108309",0.872912340793598
"candidate_enh_1","ENSG00000108312",0.227897603937038
"candidate_enh_1","ENSG00000108840",0.713215375362739
"candidate_enh_1","ENSG00000108849",0.672088343827883
"candidate_enh_1","ENSG00000108852",0.0860433356304039
"candidate_enh_1","ENSG00000108861",0.705982411934346
"candidate_enh_1","ENSG00000108883",0.447296445176558
"candidate_enh_1","ENSG00000125319",0.721251569882607
